time_hr,case_depth_035_um,case_depth_050_um,carbon_uptake_g_m2,surface_hv,core_c_wt,flags
0.0,0.0,0.0,0.0,80.0,0.02,
0.2,500.0,500.0,12.528169780751723,842.4649249139632,0.020000131927747175,through_carburized
0.4,500.0,500.0,17.716538637567837,842.4649249139632,0.020277090001149356,through_carburized
0.6000000000000001,500.0,500.0,21.697844255524977,842.4649249139632,0.023813919029611507,through_carburized
0.8,500.0,500.0,25.0542837106398,842.4649249139632,0.034614828378780015,through_carburized
1.0,500.0,500.0,28.011379035933086,842.4649249139632,0.05331697501034653,through_carburized
1.2000000000000002,500.0,500.0,30.684745604419398,842.4649249139632,0.07836477744530693,through_carburized
1.4000000000000001,500.0,500.0,33.14291296860086,842.4649249139632,0.1077794247903374,through_carburized
1.6,500.0,500.0,35.43025689619742,842.4649249139632,0.13986815195868715,through_carburized
1.8,500.0,500.0,37.5772449138648,842.4649249139632,0.17336300443779482,through_carburized
2.0,500.0,500.0,39.60569133574858,842.4649249139632,0.20737023051898051,through_carburized
2.2,500.0,500.0,41.531736983806596,842.4649249139632,0.24128162449669516,through_carburized
2.4000000000000004,500.0,500.0,43.36766436134164,842.4649249139632,0.2746946177020096,through_carburized
2.6,500.0,500.0,45.12305986041373,842.4649249139632,0.3073508377990702,through_carburized;core_high_carbon
2.8000000000000003,500.0,500.0,46.80558395349631,842.4649249139632,0.3390916727243072,through_carburized;core_high_carbon
3.0,500.0,500.0,48.42149429912217,842.4649249139632,0.369826971939896,through_carburized;core_high_carbon
3.2,500.0,500.0,49.97600774248763,842.4649249139632,0.39951324815675504,through_carburized;core_high_carbon
3.4000000000000004,500.0,500.0,51.47252064988594,842.4649249139632,0.4281385581209518,through_carburized;core_high_carbon
3.6,500.0,500.0,52.915617243349445,842.4649249139632,0.45571202460695065,through_carburized;core_high_carbon
3.8000000000000003,500.0,500.0,54.308640985260375,842.4649249139632,0.4822565721994076,through_carburized;core_high_carbon
4.0,500.0,500.0,55.65326509547044,842.4649249139632,0.5078038897812148,through_carburized;core_high_carbon
