frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,phase_deg,working_electrode_area_cm2,dc_bias_V_vs_ref,temperature_C,pH,fe2_concentration_M,electrolyte_id,reference_electrode,notes
100000.0,8.0122733152258,-0.07966520731489918,8.012669356908217,0.5696672549558744,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
82349.81931268027,7.958523965149742,-0.019173506389527972,7.95854706131779,0.13803550432262462,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
67814.92740831088,8.030202777633278,-0.06571408618894921,8.030471654332194,0.46886185237418265,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
55845.47018776941,8.037895428864385,-0.056497142454518465,8.03809398131575,0.4027166736570341,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
45988.64379394484,7.922350803428025,-0.04998085762429852,7.922508462520286,0.3614652111741807,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
37871.56506866572,7.948494477992655,-0.06618187028293408,7.948769999605844,0.47705313659852716,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
31187.165404930358,8.005982120313416,-0.07543606497420537,8.006337509165904,0.5398513482252489,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
25682.57435970688,7.988625901054064,-0.1278665462229458,7.9896491562918355,0.9170022456084774,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
21149.55358006341,8.001213682024158,-0.16741829289756727,8.002965029925305,1.198688404126188,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
17416.619158620717,7.96863817598449,-0.18590840548580378,7.970806503421577,1.3364686484991335,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
14342.554407501815,8.039307071503243,-0.28940861869978907,8.044514624170919,2.061711881938905,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
11811.067639400606,8.037196534414688,-0.327321221796057,8.04385898154894,2.3321274164873524,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
9726.392859944848,8.011555390721044,-0.3800233813313445,8.020563418423293,2.7157557237858367,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
8009.666945806026,8.058350073953143,-0.4369624906306959,8.070188481850892,3.1038129829633743,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
6595.946257418738,8.038129732893205,-0.46572460191437515,8.051610336302303,3.3159771910920948,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
5431.749824945833,7.993922224164078,-0.6210328518856337,8.018009374471045,4.442279139208427,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
4473.0361663597205,8.056867596166176,-0.7243357307993956,8.08936200902551,5.137245572719043,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
3683.53720078807,8.022921557410974,-0.8069306549972853,8.063399245872926,5.743389169146742,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
3033.3862291643395,8.126705153734353,-1.0557896809050582,8.195000213913243,7.402183752966167,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
2497.9880787725588,8.131432468585492,-1.229502051262388,8.2238597559312,8.598198690135796,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
2057.0886693214975,8.188037549266099,-1.5606780688740667,8.335446895209403,10.791400455198657,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
1694.0088022878722,8.257420571145966,-1.8423340472190664,8.460448524181633,12.577409246448122,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
1395.0131878249617,8.47046880717508,-2.242851894388172,8.762375615863922,14.830708648386532,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
1148.790839561917,8.598069395993454,-2.645012335370337,8.995714957277185,17.099396150063356,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
946.0271806598623,8.850646308312387,-3.079008253076058,9.37092481547868,19.182025850226708,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
779.05167392224,9.222939614531292,-3.746435384218748,9.954817588555649,22.107401603487293,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
641.5476458273763,9.77051406528624,-4.214153101063341,10.640584169074462,23.331181247511214,1.0,-0.7,60.0,3.0,1.0,FE-SO4-SYNTHETIC,Ag/AgCl,Synthetic Randles spectrum; imaginary part negative for the capacitive semicircle
