timestamp_s,current_A,cell_voltage_V,working_electrode_area_cm2,temperature_C,pH,fe2_concentration_M,electrolyte_id,current_sign_convention,notes
0.0,-1.5,2.62,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
30.0,-1.5009270509831247,2.6237424104347196,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
60.0,-1.5017633557568777,2.6273212595753646,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
90.0,-1.5024270509831248,2.6305801345412645,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
120.0,-1.5028531695488854,2.6333766068585933,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
150.0,-1.5030000000000001,2.63558845726812,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
180.0,-1.5028531695488854,2.6371190172933128,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
210.0,-1.5024270509831248,2.637901394116629,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
240.0,-1.5017633557568777,2.637901394116629,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
270.0,-1.5009270509831247,2.6371190172933128,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
300.0,-1.5,2.63558845726812,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
330.0,-1.499072949016875,2.6333766068585933,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
360.0,-1.4982366442431225,2.6305801345412645,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
390.0,-1.4975729490168752,2.6273212595753646,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
420.0,-1.4971468304511144,2.6237424104347196,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
450.0,-1.4969999999999999,2.62,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
480.0,-1.4971468304511144,2.6162575895652807,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
510.0,-1.4975729490168752,2.6126787404246357,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
540.0,-1.4982366442431225,2.6094198654587357,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
570.0,-1.499072949016875,2.606623393141407,50.0,60.0,3.0,1.0,FE-SO4-SYNTHETIC,cathodic_negative,Synthetic 1 h galvanostatic Hull-panel example; not wet-lab data
