time_hr,fe_M,ligand_M,chloride_M,impurity_M,precipitated_fe_mol,coating_remaining_fraction,anode_overpotential_V,cell_voltage_V,specific_energy_kWh_t,cer_fraction,quality_flags
0.0,1.0,1.3,0.0,0.0002,0.0,1.0,0.34251721106994126,1.5027228879317804,1518.3076895309011,0.0,
2.0,0.97455419776702,1.3077400000000001,0.0,0.00020003554893326028,0.0,0.9997037588894978,0.3425333413812089,1.502739018243048,1518.3239871302978,0.0,
4.0,0.9501262276233592,1.3151688520000002,0.0,0.00020006967590919012,0.0,0.9994075177789956,0.3425494751246586,1.502755151986498,1518.3402881974723,0.0,
6.0,0.9266753762854448,1.3222990641496002,0.0,0.00020010243780608277,0.0,0.9991112766684934,0.3425656123023251,1.5027712891641642,1518.35659273448,0.0,
8.0,0.904162559001047,1.3291426417707863,0.0,0.0002001338892270997,0.0,0.9988150355579912,0.3425817529162448,1.502787429778084,1518.3729007433783,0.0,
10.0,0.8825502544080251,1.3357111075716008,0.0,0.00020016408259127598,0.0,0.998518794447489,0.3425978969684562,1.5028035738302954,1518.3892122262268,0.0,
12.0,0.8618024419987241,1.3420155210472224,0.0,0.0002001930682208852,0.0,0.9982225533369868,0.34261404446099936,1.5028197213228385,1518.4055271850868,0.0,
14.0,0.8418845420857951,1.348066497101124,0.0,0.00020022089442531005,0.0,0.9979263122264846,0.3426301953959162,1.5028358722577553,1518.421845622022,0.0,
16.0,0.8227633581693833,1.3538742239176589,0.0,0.00020024760758155792,0.0,0.9976300711159825,0.34264634977525066,1.50285202663709,1518.4381675390969,0.0,
18.0,0.804407021609628,1.359448480116169,0.0,0.00020027325221155586,0.0,0.9973338300054803,0.34266250760104816,1.5028681844628873,1518.4544929383778,0.0,
20.0,0.7867849385122628,1.364798651215499,0.0,0.0002002978710563539,0.0,0.9970375888949781,0.34267866887535614,1.5028843457371954,1518.4708218219344,0.0,
22.0,0.7698677387387923,1.369933745436636,0.0,0.00020032150514736,0.0,0.9967413477844759,0.3426948336002239,1.502900510462063,1518.487154191836,0.0,
24.0,0.7536272269562606,1.3748624088700834,0.0,0.00020034419387472585,0.0,0.9964451066739737,0.3427110017777025,1.5029166786395416,1518.5034900501562,0.0,
26.0,0.7380363356450301,1.379592940033506,0.0,0.00020036597505299707,0.0,0.9961488655634715,0.3427271734098447,1.5029328502716839,1518.5198293989683,0.0,
28.0,0.7230690799862489,1.3841333038441592,0.0,0.00020038688498413745,0.0,0.9958526244529693,0.34274334849870536,1.5029490253605446,1518.5361722403486,0.0,
30.0,0.7087005145538189,1.388491145029624,0.0,0.0002004069585180322,0.0,0.9955563833424671,0.342759527046341,1.5029652039081802,1518.5525185763752,0.0,
32.0,0.6949066917386861,1.392673800999433,0.0,0.00020042622911057117,0.0,0.9952601422319649,0.34277570905481,1.5029813859166492,1518.5688684091272,0.0,
34.0,0.6816646218361586,1.3966883141992559,0.0,0.00020044472887940858,0.0,0.9949639011214627,0.34279189452617254,1.5029975713880117,1518.5852217406866,0.0,
36.0,0.6689522347297322,1.4005414439684458,0.0,0.0002004624886574925,0.0,0.9946676600109605,0.3428080834624908,1.50301376032433,1518.6015785731372,0.0,
38.0,0.6567483431075629,1.4042396779209143,0.0,0.00020047953804445306,0.0,0.9943714189004583,0.3428242758658285,1.5030299527276676,1518.6179389085635,0.0,
40.0,0.6450326071502803,1.4077892428684935,0.0,0.0002004959054559352,0.0,0.9940751777899561,0.34284047173825144,1.5030461486000906,1518.6343027490532,0.0,
