C_wt,temper_T_C,Ms_C,RA_as_quenched_pct,HV_as_quenched,P_Hollomon_Jaffe,HV_tempered_1hr
0.2,180,445.28,0.9822496135157985,316.8,10447.963478222697,203.9015407312674
0.4,180,360.67999999999995,2.4910148207668388,506.6,10447.963478222697,326.06224916180577
0.6,180,276.08000000000004,6.317289161427839,696.4,10447.963478222697,448.2229575923441
0.8,180,191.47999999999996,16.020836976316467,886.2,10447.963478222697,570.3836660228825
1.0,180,106.88,40.62932863495781,900.0,10447.963478222697,579.2657407138278
0.2,300,445.28,0.9822496135157985,316.8,13214.719778314771,150.0
0.4,300,360.67999999999995,2.4910148207668388,506.6,13214.719778314771,198.15948325682288
0.6,300,276.08000000000004,6.317289161427839,696.4,13214.719778314771,272.4008372286842
0.8,300,191.47999999999996,16.020836976316467,886.2,13214.719778314771,346.64219120054565
1.0,300,106.88,40.62932863495781,900.0,13214.719778314771,352.0401400140951
0.2,450,445.28,0.9822496135157985,316.8,16673.165153429865,150.0
0.4,450,360.67999999999995,2.4910148207668388,506.6,16673.165153429865,177.31
0.6,450,276.08000000000004,6.317289161427839,696.4,16673.165153429865,243.73999999999998
0.8,450,191.47999999999996,16.020836976316467,886.2,16673.165153429865,310.17
1.0,450,106.88,40.62932863495781,900.0,16673.165153429865,315.0
0.2,600,445.28,0.9822496135157985,316.8,20131.610528544956,150.0
0.4,600,360.67999999999995,2.4910148207668388,506.6,20131.610528544956,177.31
0.6,600,276.08000000000004,6.317289161427839,696.4,20131.610528544956,243.73999999999998
0.8,600,191.47999999999996,16.020836976316467,886.2,20131.610528544956,310.17
1.0,600,106.88,40.62932863495781,900.0,20131.610528544956,315.0
